scenario_id,strategy_name,model_name,intent,tone,generated_subject,human_reference_email,fact_recall_integration_score,tone_audience_fit_score,professional_email_quality_score,overall_score,missing_facts,hallucination_flag,judge_reason,attempt_count
1,simple,openai/gpt-oss-120b,Follow up after a client meeting,Formal,Follow Up After A Client Meeting,"Subject: Follow-Up on Website Redesign Discussion

Dear [Recipient],

Thank you for meeting with us yesterday to discuss the website redesign. I appreciate the opportunity to understand your priorities and the timeline you asked us to prepare.

As discussed, we will include the project timeline in the proposal and send it by Friday for your review. Please let me know if there are any additional details you would like us to include.

Best regards,
[Your Name]",9.4,6.8,6.87,7.69,,FALSE,"The generated email includes most of the required facts, but misses the fact that the client asked for a timeline. The tone is mostly formal, but could be more concise and direct. The email quality is good, but could benefit from a more streamlined format.",1
2,simple,openai/gpt-oss-120b,Request missing proposal details,Polite and clear,Request Missing Proposal Details,"Subject: Request for Remaining Proposal Details

Hi [Recipient],

Thank you for sharing the proposal materials. Could you please send the remaining details, including the pricing breakdown, the implementation timeline, and any relevant case studies?

We are working toward a Monday deadline, so receiving these details before then would help us complete our review on time.

Best regards,
[Your Name]",9.7,8,8.07,8.59,,FALSE,"The generated email effectively recalls and integrates the required facts, with the only omission being the specific date for the Monday deadline. The tone is polite and clear, but slightly less polished than the human reference email. The email quality is high, with proper formatting and a clear structure.",1
3,simple,openai/gpt-oss-120b,Urgent project deadline reminder,Urgent but professional,Urgent Project Deadline Reminder,"Subject: Urgent Update Needed on Backend API

Hi [Recipient],

I wanted to flag that the project deadline is tomorrow at 5 PM, and the backend API is still pending. QA depends on this API to begin its final checks.

Could you please send an update by noon today so we can adjust the plan if needed and keep the deadline on track?

Best regards,
[Your Name]",9.7,8.4,8.07,8.72,,FALSE,"The generated email correctly conveys the urgency of the deadline and the dependency on the Backend API. However, it misses the fact that the Backend API is pending. The tone is mostly professional, but the phrase 'Please let me know if there are any blockers I can help address' slightly deviates from the requested tone of 'Urgent but professional'. The email quality is high, but it includes unnecessary details such as the greeting and the closing sentence.",1
4,simple,openai/gpt-oss-120b,Apologize for a service delay,Empathetic,Apologize For A Service Delay,"Subject: Update on Service Delivery Timeline

Hi [Recipient],

I sincerely apologize for the service delay. Delivery will be delayed by 2 days because an issue was found during final QA.

Our team is fixing it now, and the new delivery date is Wednesday. I understand this may create inconvenience, and I appreciate your patience while we make sure the final delivery meets the right standard.

Best regards,
[Your Name]",7.95,8.4,8.07,8.14,Team is fixing it,FALSE,"The generated email effectively conveys the required facts and tone, but could be improved by using the exact phrase 'final QA' to match the original intent.",1
5,simple,openai/gpt-oss-120b,Schedule an interview,Formal,Schedule An Interview,"Subject: Interview Scheduling Request

Dear [Recipient],

We are pleased to let you know that the candidate has been shortlisted for the next stage. We would like to schedule a 30-minute interview and can offer either Tuesday or Thursday.

Please share your availability for those days, and we will confirm the interview time accordingly.

Best regards,
[Your Name]",9.4,6.8,6.87,7.69,,FALSE,"The generated email mostly recalls the required facts, but misses the interviewer's name and job title. The tone is mostly formal, but could be more polished. The email quality is good, but could benefit from a more concise structure.",1
6,simple,openai/gpt-oss-120b,Payment reminder,Polite but firm,Payment Reminder,"Subject: Payment Reminder for Invoice #INV-2041

Hi [Recipient],

I am writing to follow up on Invoice #INV-2041 for $1,250, which was due last Friday. I have attached the invoice again for your reference.

Could you please confirm the expected payment date? We would appreciate your prompt attention to this outstanding balance.

Best regards,
[Your Name]",9.7,8.32,6.87,8.3,,FALSE,"The generated email mostly recalls the required facts, but fails to explicitly mention the due date as 'last Friday'. The tone is polite but firm, but slightly deviates from the requested tone by being overly friendly. The email quality is good, but lacks some details present in the human reference email.",1
7,simple,openai/gpt-oss-120b,Internal project status update,Concise executive,Internal Project Status Update,"Subject: Project Status Update

Hi Team,

Current status: design is completed, the API is 80% complete, and QA is scheduled to start next week.

The main risk is delayed content from the client, which may affect downstream timelines. I will continue monitoring this and share updates as needed.

Best regards,
[Your Name]",9.7,8.32,8.07,8.7,,FALSE,"The generated email accurately recalls and integrates all required facts, effectively conveys the concise executive tone, and maintains high professional email quality. The only minor deviation from the tone is the inclusion of an 'action required' section, which is not present in the human reference email but is still suitable for the requested tone.",1
8,simple,openai/gpt-oss-120b,Networking introduction,Friendly professional,Networking Introduction,"Subject: Great Meeting You at the SaaS Meetup

Hi [Recipient],

It was great meeting you at the SaaS meetup and discussing AI tools. I enjoyed hearing your perspective and wanted to stay in touch.

Here is my portfolio link for reference: [Portfolio Link]. If you are open to it, I would be glad to schedule a 15-minute call to continue the conversation.

Best regards,
[Your Name]",9.7,7.88,7.47,8.35,,FALSE,"The generated email effectively recalls and integrates the required facts, maintains a friendly professional tone, and demonstrates good professional email quality. It only slightly deviates from the human reference email in terms of tone and style, but still effectively conveys the original intent.",1
9,simple,openai/gpt-oss-120b,Request approval for budget,Persuasive,Request Approval For Budget,"Subject: Budget Approval Request for Email API Credits

Dear [Recipient],

I am requesting approval for $600 in email API credits to support our 3-month pilot. This budget will allow us to test the workflow at an expected scale of 2,000 monthly users.

Approval by Friday would help us keep the pilot timeline on track and avoid delays in user testing. Please let me know if you need any additional details.

Best regards,
[Your Name]",9.7,8,8.07,8.59,,FALSE,"The generated email accurately recalls and integrates all required facts, effectively conveys a persuasive tone, and maintains a high level of professional email quality. The only minor deduction is for tone, as the generated email is slightly more elaborate than the requested tone.",1
10,simple,openai/gpt-oss-120b,Respond to customer complaint,Calm and empathetic,Respond To Customer Complaint,"Subject: Corrected Report File Attached

Hi [Recipient],

Thank you for letting us know that the wrong report file was sent. I apologize for the mistake and any inconvenience it caused.

The corrected file is attached to this email. If it would be helpful, I am also happy to schedule a follow-up call to walk through the report or answer any questions.

Best regards,
[Your Name]",7.95,8.4,8.07,8.14,Offer follow-up call,FALSE,"The generated email effectively recalls and integrates the required facts, but misses the specific mention of 'inconvenience caused'. The tone is generally calm and empathetic, but slightly more formal than the human reference email. The email quality is high, with proper formatting and a clear structure.",1
